Name	Enzyme	Guide	Promoter	Replicate	Channel	PercPos	MFI
dCas9-gRNA2-P1	dCas9	gRNA2	P1	Rep3	PhiYFP	0.4	91.5
dCas9-gRNA2-P2	dCas9	gRNA2	P2	Rep3	mCerulean	43.8	2418.6
dCas9-gRNA2-P3	dCas9	gRNA2	P3	Rep3	mCherry	6.7	157.1
dCas9-gRNA3-P1	dCas9	gRNA3	P1	Rep3	PhiYFP	0.3	91.5
dCas9-gRNA3-P2	dCas9	gRNA3	P2	Rep3	mCerulean	2.7	362.6
dCas9-gRNA3-P3	dCas9	gRNA3	P3	Rep3	mCherry	53.5	3638.9
mCerulean	None	None	None	Rep3	mCerulean	66.3	8849.4
mCherry	None	None	None	Rep3	mCherry	57.5	10957
P1-only	None	None	P1	Rep3	PhiYFP	0.3	90.5
P2-only	None	None	P2	Rep3	mCerulean	0.4	320.5
P3-only	None	None	P3	Rep3	mCherry	2.2	143.6
PhiYFP	None	None	None	Rep3	PhiYFP	62.6	4472
UT	None	None	None	Rep3	PhiYFP	0.2	87.9
UT	None	None	None	Rep1	mCerulean	0	604.7
UT	None	None	None	Rep2	mCerulean	0	262.6
UT	None	None	None	Rep3	mCerulean	0	290.6
UT	None	None	None	Rep1	mCherry	0	156.7
UT	None	None	None	Rep2	mCherry	0	108.4
UT	None	None	None	Rep3	mCherry	0	NA
